name,lng,lat,type1,type2
华清园停车场,114.29734700000,30.59896100000,交通设施,交通设施
东方紫悦停车场,114.28474700000,30.60176100000,交通设施,交通设施
三阳路地铁三阳路站(公交站),114.29462600000,30.60159600000,交通设施,交通设施
三阳路中山大道(公交站),114.29935800000,30.59967600000,交通设施,交通设施
苗栗路澳门路(公交站),114.29040400000,30.60320100000,交通设施,交通设施
大智无界·空中小镇停车场,114.28955600000,30.59250000000,交通设施,交通设施
大智嘉园II区地下停车库,114.28806300000,30.59248500000,交通设施,交通设施
停车场(单洞社区名仕阁公寓东),114.27866100000,30.58608100000,交通设施,交通设施
一元路-占道收费停车场,114.29753900000,30.59539100000,交通设施,交通设施
阳光城央座停车场,114.27717000000,30.60793500000,交通设施,交通设施
江岸区三山停车场,114.28135500000,30.60763900000,交通设施,交通设施
车站路中山大道(公交站),114.29415600000,30.59320400000,交通设施,交通设施
停车场(保成社区北区东),114.28534400000,30.58666800000,交通设施,交通设施
湖北鑫乐银兴电影城沿街停车场,114.29803800000,30.59093700000,交通设施,交通设施
界立方(兰陵路店)停车场,114.29567300000,30.58736600000,交通设施,交通设施
武汉M+购物中心停车场-G084车位,114.28089700000,30.58616900000,交通设施,交通设施
武汉M+购物中心停车场-G064车位,114.28078100000,30.58633900000,交通设施,交通设施
武汉M+购物中心停车场-G044车位,114.28072800000,30.58619800000,交通设施,交通设施
中国·中华城停车场,114.27810200000,30.60801900000,交通设施,交通设施
武汉公共自行车香港路二站,114.28280300000,30.60426700000,交通设施,交通设施
天驿时尚酒店大智路店停车场,114.28775500000,30.59350300000,交通设施,交通设施
保成社区-停车棚,114.28400400000,30.58587800000,交通设施,交通设施
停车场,114.28758100000,30.59076500000,交通设施,交通设施
喜鹊巢公寓地面停车场,114.29127600000,30.58836900000,交通设施,交通设施
老甫社区-电动车停车场,114.27858800000,30.58843500000,交通设施,交通设施
高雄路-路侧停车位,114.28099100000,30.59943700000,交通设施,交通设施
交易停车场,114.28857000000,30.59116100000,交通设施,交通设施
如家快捷酒店地面停车场,114.28082300000,30.60374100000,交通设施,交通设施
武汉君悦物业管理有限公司停车场,114.28727800000,30.59854500000,交通设施,交通设施
福隆花园停车场,114.28231600000,30.59955700000,交通设施,交通设施
天悦外滩金融中心停车场,114.30210200000,30.59883200000,交通设施,交通设施
大润发江汉店停车场,114.28003900000,30.58680600000,交通设施,交通设施
武汉M+购物中心停车场-G054车位,114.28070100000,30.58652500000,交通设施,交通设施
循礼社区地面停车场,114.27635200000,30.58856200000,交通设施,交通设施
武汉M+购物中心停车场-G040车位,114.28064700000,30.58613600000,交通设施,交通设施
武汉M+购物中心停车场-G007车位,114.28020000000,30.58624800000,交通设施,交通设施
铂仕汇国际广场停车场,114.29742400000,30.60153200000,交通设施,交通设施
中南剧场1001天河影院停车场,114.29312100000,30.59905000000,交通设施,交通设施
世纪大厦-智能立体车库,114.28159400000,30.58767500000,交通设施,交通设施
停车位(武汉数码港),114.28972000000,30.58957500000,交通设施,交通设施
二曜路-路侧停车位,114.29965700000,30.59709400000,交通设施,交通设施
澳门路-路侧停车位,114.28985100000,30.60410800000,交通设施,交通设施
保成路-路侧停车位,114.28307100000,30.58721600000,交通设施,交通设施
洞庭街-路侧停车位,114.29396700000,30.58708900000,交通设施,交通设施
武汉供电公司综合楼停车场,114.28869100000,30.59867300000,交通设施,交通设施
武汉市第六医院停车场,114.28530400000,30.60267200000,交通设施,交通设施
天津路-路侧停车位,114.29087100000,30.58809000000,交通设施,交通设施
六合路-路侧停车位,114.30235500000,30.60363500000,交通设施,交通设施
解放南路-路侧停车位,114.29097800000,30.59860600000,交通设施,交通设施
鄱阳街-占道收费停车场(二),114.29369600000,30.58833200000,交通设施,交通设施
中山大道五福路(公交站),114.29950700000,30.60286300000,交通设施,交通设施
球场路-路侧停车位,114.28377600000,30.60686200000,交通设施,交通设施
高雄路-路侧停车位,114.28099100000,30.59943700000,交通设施,交通设施
停车场(模范三村西南),114.28739400000,30.60027900000,交通设施,交通设施
路侧停车位(长江日报南路),114.27686700000,30.60408800000,交通设施,交通设施
天津路-路侧停车位,114.29087100000,30.58809000000,交通设施,交通设施
三阳路停车场,114.29472600000,30.60279200000,交通设施,交通设施
三阳路中山大道(临时站)(公交站),114.29897000000,30.59969300000,交通设施,交通设施
五福路(公交站),114.30115900000,30.60244000000,交通设施,交通设施
东方驾校停车场,114.29453400000,30.60276900000,交通设施,交通设施
武汉市儿童医院-北停车场,114.28243200000,30.60670600000,交通设施,交通设施
建华大厦停车场,114.28496000000,30.58660000000,交通设施,交通设施
车站路中山大道(公交站),114.29402000000,30.59326600000,交通设施,交通设施
香港路茶叶市场停车场,114.28300400000,30.60231200000,交通设施,交通设施
融科·天城4期停车场,114.29368200000,30.60082500000,交通设施,交通设施
湖北省国土绘测院停车场,114.28492900000,30.60721300000,交通设施,交通设施
怡东大厦-停车场(二),114.29711200000,30.59196700000,交通设施,交通设施
胜利街一元路车站,114.29735200000,30.59499400000,交通设施,交通设施
中山大道大智路(临时站)(公交站),114.29086900000,30.59005600000,交通设施,交通设施
烽鸟共享汽车网点(6号线苗栗路D口停车场),114.28411400000,30.60062200000,交通设施,交通设施
新兴停车场,114.30186700000,30.60665300000,交通设施,交通设施
下陈家湖停车场,114.29342200000,30.60319700000,交通设施,交通设施
停车场,114.28033800000,30.60812300000,交通设施,交通设施
停车场,114.27808800000,30.60520300000,交通设施,交通设施
停车场,114.28087100000,30.60362500000,交通设施,交通设施
临时站(公交站),114.29819100000,30.59093400000,交通设施,交通设施
金冠大厦停车场,114.28493200000,30.60786500000,交通设施,交通设施
丹枫白露酒店停车场,114.29665000000,30.60147100000,交通设施,交通设施
武汉市烟草专卖局江岸区分局停车场,114.27626600000,30.60349200000,交通设施,交通设施
加勒比海夜总会停车场,114.29774000000,30.60511100000,交通设施,交通设施
滨江假日酒店停车场,114.29543800000,30.58624700000,交通设施,交通设施
船舶国际广场停车场,114.28154600000,30.58875600000,交通设施,交通设施
船舶国际广场停车场,114.28067900000,30.58808600000,交通设施,交通设施
金益大厦停车场,114.29900700000,30.60129300000,交通设施,交通设施
停车场(崇善路),114.28700100000,30.58786100000,交通设施,交通设施
融科·天城停车场,114.29066100000,30.59956000000,交通设施,交通设施
明星书院停车场(麟趾路),114.29809600000,30.60176100000,交通设施,交通设施
停车场(香港路),114.28464000000,30.60077600000,交通设施,交通设施
银城大厦停车场,114.27686100000,30.59910300000,交通设施,交通设施
